Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Barnsley,37,25.5,51.6,46,506,4140,46.0,68,45,113,65,3,3,88,4,1.48,0.98,2.46,1.41,2.39
Birmingham City,30,26.4,67.0,46,506,4140,46.0,80,51,131,68,12,13,77,1,1.74,1.11,2.85,1.48,2.59
Blackpool,31,25.5,49.9,46,506,4140,46.0,67,48,115,63,4,4,69,2,1.46,1.04,2.5,1.37,2.41
Bolton,33,25.9,56.6,46,506,4140,46.0,64,49,113,61,3,4,116,2,1.39,1.07,2.46,1.33,2.39
Bristol Rovers,30,26.5,47.0,46,506,4140,46.0,44,36,80,42,2,2,87,4,0.96,0.78,1.74,0.91,1.7
Burton Albion,38,25.0,42.9,46,506,4140,46.0,49,34,83,48,1,1,91,6,1.07,0.74,1.8,1.04,1.78
Cambridge Utd,32,27.9,43.7,46,506,4140,46.0,43,26,69,40,3,4,97,5,0.93,0.57,1.5,0.87,1.43
Charlton Ath,32,25.5,49.3,46,506,4140,46.0,64,38,102,61,3,3,90,2,1.39,0.83,2.22,1.33,2.15
Crawley Town,37,24.7,56.4,46,506,4140,46.0,57,38,95,54,3,3,107,3,1.24,0.83,2.07,1.17,2.0
Exeter City,36,25.4,51.3,46,506,4140,46.0,49,28,77,48,1,3,104,4,1.07,0.61,1.67,1.04,1.65
Huddersfield,33,26.6,55.0,46,506,4140,46.0,56,37,93,55,1,3,83,3,1.22,0.8,2.02,1.2,2.0
Leyton Orient,27,24.9,51.8,46,506,4140,46.0,71,54,125,70,1,1,96,2,1.54,1.17,2.72,1.52,2.7
Lincoln City,27,25.3,45.2,46,506,4140,46.0,63,39,102,60,3,5,94,5,1.37,0.85,2.22,1.3,2.15
Mansfield Town,34,30.1,48.7,46,506,4140,46.0,58,39,97,55,3,5,100,1,1.26,0.85,2.11,1.2,2.04
Northampton,38,27.1,43.3,46,506,4140,46.0,45,31,76,42,3,5,88,4,0.98,0.67,1.65,0.91,1.59
P'borough Utd,34,23.2,54.4,46,506,4140,46.0,66,45,111,59,7,9,96,6,1.43,0.98,2.41,1.28,2.26
Reading,32,23.7,51.7,46,506,4140,46.0,65,41,106,60,5,5,74,3,1.41,0.89,2.3,1.3,2.2
Rotherham Utd,29,27.8,46.8,46,506,4140,46.0,53,34,87,48,5,5,66,0,1.15,0.74,1.89,1.04,1.78
Shrewsbury,30,26.9,42.3,46,506,4140,46.0,40,25,65,37,3,6,97,3,0.87,0.54,1.41,0.8,1.35
Stevenage,29,27.3,47.1,46,506,4140,46.0,41,28,69,39,2,4,90,1,0.89,0.61,1.5,0.85,1.46
Stockport,33,26.4,52.8,46,506,4140,46.0,70,48,118,63,7,7,88,4,1.52,1.04,2.57,1.37,2.41
Wigan Athletic,37,23.9,48.0,46,506,4140,46.0,39,28,67,38,1,1,91,2,0.85,0.61,1.46,0.83,1.43
Wrexham,29,28.1,48.3,46,506,4140,46.0,64,45,109,61,3,4,78,0,1.39,0.98,2.37,1.33,2.3
Wycombe,37,26.7,50.0,46,506,4140,46.0,68,46,114,62,6,10,69,3,1.48,1.0,2.48,1.35,2.35
