Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Barnsley,37,46.0,88,4,1,508,430,94,899,390,481,,,0
Birmingham City,30,46.0,77,1,1,553,567,86,1033,296,466,,,3
Blackpool,31,46.0,69,2,1,460,553,75,877,399,475,,,2
Bolton,33,46.0,116,2,2,526,622,107,865,307,459,,,0
Bristol Rovers,30,46.0,87,4,2,503,498,96,724,437,529,,,1
Burton Albion,38,46.0,91,6,2,481,488,101,830,374,501,,,4
Cambridge Utd,32,46.0,97,5,2,553,562,79,805,401,440,,,3
Charlton Ath,32,46.0,90,2,0,602,461,83,933,435,502,,,2
Crawley Town,37,46.0,107,3,2,468,530,85,601,318,467,,,5
Exeter City,36,46.0,104,4,3,596,519,75,848,348,444,,,2
Huddersfield,33,46.0,83,3,0,504,515,94,1019,358,485,,,3
Leyton Orient,27,46.0,96,2,1,541,433,85,807,320,491,,,1
Lincoln City,27,46.0,94,5,3,602,494,76,917,497,459,,,1
Mansfield Town,34,46.0,100,1,1,595,465,94,1006,385,476,,,2
Northampton,38,46.0,88,4,4,530,493,71,740,393,465,,,1
P'borough Utd,34,46.0,96,6,2,458,586,85,635,347,437,,,3
Reading,32,46.0,74,3,2,525,528,93,700,341,534,,,0
Rotherham Utd,29,46.0,66,0,0,550,539,106,1048,364,444,,,1
Shrewsbury,30,46.0,97,3,0,579,488,89,851,381,542,,,2
Stevenage,29,46.0,90,1,1,575,554,103,775,292,516,,,2
Stockport,33,46.0,88,4,4,565,565,77,938,317,464,,,1
Wigan Athletic,37,46.0,91,2,0,578,507,79,793,377,360,,,4
Wrexham,29,46.0,78,0,0,529,441,106,1038,340,515,,,0
Wycombe,37,46.0,69,3,1,533,563,85,767,338,367,,,0
