Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Birmingham City,46,34,9,3,84,31,53,111,2.41,27887,Jay Stansfield - 19,Ryan Allsop,Promoted
2,Wrexham,46,27,11,8,67,34,33,92,2.0,12894,Oliver Rathbone - 9,Arthur Okonkwo,Promoted
3,Stockport,46,25,12,9,72,42,30,87,1.89,9269,Louie Barry - 15,Corey Addai,→ Promotion play-offs — Semi-finals
4,Charlton Ath,46,25,10,11,67,43,24,85,1.85,19686,Matthew Godden - 18,William Mannion,"Promoted, → Promotion play-offs — Semi-finals"
5,Wycombe,46,24,12,10,70,45,25,84,1.83,5648,Richard Kone - 18,Franco Ravizzoli,→ Promotion play-offs — Semi-finals
6,Leyton Orient,46,24,6,16,72,48,24,78,1.7,8263,Charlie Kelman - 21,Josh Keeley,→ Promotion play-offs — Semi-finals
7,Reading,46,21,12,13,68,57,11,75,1.63,12535,Harvey Knibbs - 14,Joel Castro Pereira,
8,Bolton,46,20,8,18,67,70,-3,68,1.48,21325,Aaron Collins - 12,Nathan Baxter,
9,Blackpool,46,17,16,13,72,60,12,67,1.46,9663,Ashley Fletcher - 11,Harry Tyrer,
10,Huddersfield,46,19,7,20,58,55,3,64,1.39,18817,Josh Koroma - 11,"Lee Nicholls, Jacob Chapman",
11,Lincoln City,46,16,13,17,64,56,8,61,1.33,9004,James Collins - 10,George Wickens,
12,Barnsley,46,17,10,19,69,73,-4,61,1.33,12211,Davis Keillor-Dunn - 18,Ben Killip,
13,Rotherham Utd,46,16,11,19,54,59,-5,59,1.28,9359,Sam Nombe - 14,Dillon Phillips,
14,Stevenage,46,15,12,19,42,50,-8,57,1.24,3989,Daniel Kemp - 10,Murphy Cooper,
15,Wigan Athletic,46,13,17,16,40,42,-2,56,1.22,9946,Dale Taylor - 10,Sam Tickle,
16,Exeter City,46,15,11,20,49,65,-16,56,1.22,6513,Millenic Alli - 9,Joseph Whitworth,
17,Mansfield Town,46,15,9,22,60,73,-13,54,1.17,7769,Will Evans - 13,Christy Pym,
18,P'borough Utd,46,13,12,21,68,81,-13,51,1.11,9151,"Malik Mothersille, Kwame Poku - 12",Jed Steer,
19,Northampton,46,12,15,19,48,66,-18,51,1.11,6307,Cameron McGeehan - 10,Lee Burge,
20,Burton Albion,46,11,14,21,49,66,-17,47,1.02,3254,Rumarn Burrell - 11,Max Crocombe,
21,Crawley Town,46,12,10,24,57,83,-26,46,1.0,4275,Rushian Hepburn-Murphy - 10,Jojo Wollacott,Relegated
22,Bristol Rovers,46,12,7,27,44,76,-32,43,0.93,7880,Ruel Sotiriou - 6,Joshua Griffiths,Relegated
23,Cambridge Utd,46,9,11,26,45,73,-28,38,0.83,6640,"Joshua Stokes, Elias Kachunga - 7",Vicente Reyes,Relegated
24,Shrewsbury,46,8,9,29,41,79,-38,33,0.72,6255,John Marquis - 11,Jamal Blackman,Relegated
