Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2023-08-19,18:30 (00:30),Empoli,0.7,0–1,0.5,Hellas Verona,7940,Stadio Carlo Castellani,Luca Massimi,Match Report,
1,Sat,2023-08-19,18:30 (00:30),Frosinone,0.9,1–3,1.5,Napoli,15822,Stadio Benito Stirpe,Matteo Marcenaro,Match Report,
1,Sat,2023-08-19,20:45 (02:45),Genoa,0.2,1–4,1.0,Fiorentina,33045,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
1,Sat,2023-08-19,20:45 (02:45),Inter,2.7,2–0,0.8,Monza,72509,Stadio Giuseppe Meazza,Andrea Colombo,Match Report,
1,Sun,2023-08-20,18:30 (00:30),Roma,1.9,2–2,0.1,Salernitana,62050,Stadio Olimpico,Ermanno Feliciani,Match Report,
1,Sun,2023-08-20,18:30 (00:30),Sassuolo,0.4,0–2,1.3,Atalanta,12298,Mapei Stadium - Città del Tricolore,Matteo Marchetti,Match Report,
1,Sun,2023-08-20,20:45 (02:45),Lecce,1.4,2–1,1.6,Lazio,29081,Stadio Comunale Via Del Mare,Federico Dionisi,Match Report,
1,Sun,2023-08-20,20:45 (02:45),Udinese,1.0,0–3,1.8,Juventus,24911,Bluenergy Stadium,Antonio Rapuano,Match Report,
1,Mon,2023-08-21,18:30 (00:30),Torino,1.0,0–0,0.4,Cagliari,20296,Stadio Olimpico di Torino,Francesco Cosso,Match Report,
1,Mon,2023-08-21,20:45 (02:45),Bologna,1.0,0–2,0.9,Milan,30203,Stadio Renato Dall'Ara,Luca Pairetto,Match Report,
,,,,,,,,,,,,,
2,Sat,2023-08-26,18:30 (00:30),Frosinone,0.7,2–1,1.6,Atalanta,13426,Stadio Benito Stirpe,Juan Sacchi,Match Report,
2,Sat,2023-08-26,18:30 (00:30),Monza,2.0,2–0,1.0,Empoli,8155,U-Power Stadium,Gianluca Aureliano,Match Report,
2,Sat,2023-08-26,20:45 (02:45),Hellas Verona,0.7,2–1,1.5,Roma,23147,Stadio Marc'Antonio Bentegodi,Daniele Doveri,Match Report,
2,Sat,2023-08-26,20:45 (02:45),Milan,3.0,4–1,0.5,Torino,72013,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,
2,Sun,2023-08-27,18:30 (00:30),Fiorentina,1.3,2–2,0.3,Lecce,34604,Stadio Artemio Franchi,Maria Sole Ferrieri Caputi,Match Report,
2,Sun,2023-08-27,18:30 (00:30),Juventus,0.8,1–1,0.5,Bologna,36107,Allianz Stadium,Marco Di Bello,Match Report,
2,Sun,2023-08-27,20:45 (02:45),Napoli,3.5,2–0,0.2,Sassuolo,46925,Stadio Diego Armando Maradona,Antonio Giua,Match Report,
2,Sun,2023-08-27,20:45 (02:45),Lazio,1.4,0–1,0.6,Genoa,40000,Stadio Olimpico,Livio Marinelli,Match Report,
2,Mon,2023-08-28,18:30 (00:30),Salernitana,0.5,1–1,0.8,Udinese,20000,Stadio Arechi,Davide Massa,Match Report,
