Squad,Poss,PrgC,G+A-PK
Alavés,50.3,255,0.89
Athletic Club,49.3,335,1.11
Atlético Madrid,53.5,369,2.58
Barcelona,67.5,476,4.58
Betis,49.6,345,2.79
Celta Vigo,49.5,303,1.95
Elche,58.9,334,2.26
Espanyol,41.2,291,1.89
Getafe,42.3,161,1.53
Girona,47.6,363,1.37
Levante,42.1,189,1.72
Mallorca,44.3,243,1.74
Osasuna,45.5,247,1.42
Oviedo,45.1,285,0.68
Rayo Vallecano,54.4,301,1.37
Real Madrid,58.5,464,3.58
Real Sociedad,51.8,316,1.89
Sevilla,54.5,319,1.89
Valencia,49.0,296,1.63
Villarreal,44.3,361,3.39
