Squad,xAG,PrgP,KP
Alavés,13.5,634,152
Athletic Club,16.7,818,174
Atlético Madrid,23.7,822,189
Barcelona,30.6,1021,282
Betis,23.2,743,225
Celta Vigo,17.1,732,155
Elche,16.2,766,171
Espanyol,19.9,593,187
Getafe,8.6,488,113
Girona,14.4,657,134
Levante,14.5,463,125
Mallorca,13.7,581,149
Osasuna,13.1,544,139
Oviedo,11.2,570,122
Rayo Vallecano,18.2,720,187
Real Madrid,32.5,1027,287
Real Sociedad,19.5,760,199
Sevilla,14.8,651,166
Valencia,14.9,709,144
Villarreal,22.6,655,181
