Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-09-30,Hull City,Preston,2–2,1.7,1.2,2,2
2025-09-30,Middlesbrough,Stoke City,0–0,0.6,1.6,0,0
2025-09-30,Bristol City,Ipswich Town,1–1,1.5,1.3,1,1
2025-09-30,Derby County,Charlton Ath,1–1,1.4,0.6,1,1
2025-10-01,Norwich City,West Brom,0–1,1.6,1.0,0,1
2025-10-01,Millwall,Coventry City,0–4,1.2,3.2,0,4
2025-10-01,Portsmouth,Watford,2–2,1.1,1.9,2,2
2025-10-01,QPR,Oxford United,0–0,0.8,0.4,0,0
,,,,,,,
2025-10-03,Wrexham,Birmingham City,1–1,1.5,1.6,1,1
2025-10-04,Hull City,Sheffield Utd,1–0,0.4,2.3,1,0
2025-10-04,Blackburn,Stoke City,1–1,1.9,0.8,1,1
2025-10-04,Sheffield Weds,Coventry City,0–5,1.1,4.9,0,5
2025-10-04,Watford,Oxford United,2–1,2.6,1.4,2,1
2025-10-04,Bristol City,QPR,1–2,1.2,0.5,1,2
2025-10-04,Portsmouth,Middlesbrough,1–0,0.6,1.0,1,0
2025-10-04,Preston,Charlton Ath,2–0,1.8,0.6,2,0
2025-10-04,Derby County,Southampton,1–1,1.7,1.1,1,1
2025-10-04,Swansea City,Leicester City,1–3,1.8,1.6,1,3
2025-10-04,Millwall,West Brom,3–0,0.8,0.4,3,0
2025-10-05,Ipswich Town,Norwich City,3–1,1.8,0.5,3,1
,,,,,,,
2025-10-17,Middlesbrough,Ipswich Town,2–1,2.1,2.1,2,1
2025-10-18,QPR,Millwall,1–2,1.9,1.6,1,2
2025-10-18,Oxford United,Derby County,1–0,2.1,0.2,1,0
2025-10-18,Southampton,Swansea City,0–0,3.1,0.3,0,0
,Home,Away,Score,,,,
2025-10-18,Coventry City,Blackburn,2–0,0.8,1.1,2,0
2025-10-18,Stoke City,Wrexham,1–0,0.6,0.6,1,0
2025-10-18,Charlton Ath,Sheffield Weds,2–1,1.6,1.6,2,1
2025-10-18,Birmingham City,Hull City,2–3,2.7,1.4,2,3
2025-10-18,Sheffield Utd,Watford,1–0,1.7,1.1,1,0
2025-10-18,West Brom,Preston,2–1,1.1,1.4,2,1
2025-10-18,Norwich City,Bristol City,0–1,0.8,1.8,0,1
2025-10-18,Leicester City,Portsmouth,1–1,1.5,0.9,1,1
,,,,,,,
2025-10-21,Ipswich Town,Charlton Ath,0–3,2.3,1.7,0,3
2025-10-21,Millwall,Stoke City,2–0,1.5,0.5,2,0
2025-10-21,Portsmouth,Coventry City,1–2,0.8,2.5,1,2
2025-10-21,Derby County,Norwich City,1–0,1.3,1.0,1,0
2025-10-21,Blackburn,Sheffield Utd,1–3,0.8,1.3,1,3
2025-10-21,Hull City,Leicester City,2–1,1.5,1.5,2,1
2025-10-21,Preston,Birmingham City,0–1,1.4,0.8,0,1
2025-10-21,Bristol City,Southampton,3–1,1.5,2.2,3,1
2025-10-22,Swansea City,QPR,0–1,0.4,2.0,0,1
2025-10-22,Wrexham,Oxford United,1–0,0.8,0.1,1,0
2025-10-22,Watford,West Brom,2–1,1.2,0.8,2,1
2025-10-22,Sheffield Weds,Middlesbrough,0–1,0.7,1.5,0,1
,,,,,,,
2025-10-24,Preston,Sheffield Utd,3–2,1.7,2.3,3,2
2025-10-25,Coventry City,Watford,3–1,1.2,2.6,3,1
2025-10-25,Ipswich Town,West Brom,1–0,2.2,0.4,1,0
2025-10-25,Portsmouth,Stoke City,0–1,1.7,0.9,0,1
2025-10-25,Blackburn,Southampton,2–1,3.2,1.7,2,1
2025-10-25,Millwall,Leicester City,1–0,1.6,0.8,1,0
2025-10-25,Sheffield Weds,Oxford United,1–2,1.2,1.0,1,2
2025-10-25,Bristol City,Birmingham City,1–0,0.3,0.7,1,0
2025-10-25,Swansea City,Norwich City,2–1,0.4,1.2,2,1
2025-10-25,Derby County,QPR,1–0,1.4,0.4,1,0
2025-10-25,Middlesbrough,Wrexham,1–1,0.8,0.7,1,1
2025-10-25,Hull City,Charlton Ath,1–1,1.1,1.9,1,1
,,,,,,,
2025-10-31,Wrexham,Coventry City,3–2,1.4,1.5,3,2
2025-11-01,Leicester City,Blackburn,0–2,1.2,1.9,0,2
2025-11-01,Norwich City,Hull City,0–2,2.8,1.7,0,2
2025-11-01,West Brom,Sheffield Weds,0–0,1.1,0.3,0,0
2025-11-01,QPR,Ipswich Town,1–4,1.6,1.0,1,4
,Home,Away,Score,,,,
2025-11-01,Southampton,Preston,0–2,0.5,2.0,0,2
2025-11-01,Sheffield Utd,Derby County,1–3,2.2,2.1,1,3
2025-11-01,Oxford United,Millwall,2–2,0.7,2.4,2,2
2025-11-01,Birmingham City,Portsmouth,4–0,2.7,0.3,4,0
2025-11-01,Stoke City,Bristol City,5–1,2.8,1.0,5,1
2025-11-01,Watford,Middlesbrough,3–0,0.8,0.8,3,0
2025-11-01,Charlton Ath,Swansea City,1–1,1.0,0.7,1,1
,,,,,,,
2025-11-04,Ipswich Town,Watford,1–1,1.9,0.3,1,1
2025-11-04,Bristol City,Blackburn,0–1,0.5,1.7,0,1
2025-11-04,Derby County,Hull City,2–1,0.9,1.3,2,1
2025-11-04,Birmingham City,Millwall,4–0,1.9,0.1,4,0
2025-11-04,Charlton Ath,West Brom,1–0,1.1,1.3,1,0
2025-11-04,Oxford United,Stoke City,0–3,1.7,2.0,0,3
2025-11-04,Leicester City,Middlesbrough,1–1,1.3,1.2,1,1
2025-11-04,Coventry City,Sheffield Utd,3–1,1.9,0.9,3,1
2025-11-05,Sheffield Weds,Norwich City,1–1,2.3,1.8,1,1
2025-11-05,QPR,Southampton,1–2,1.6,0.7,1,2
2025-11-05,Preston,Swansea City,2–1,0.7,0.8,2,1
2025-11-05,Portsmouth,Wrexham,0–0,1.5,0.7,0,0
,,,,,,,
2025-11-07,Watford,Bristol City,1–1,1.2,0.8,1,1
2025-11-08,Millwall,Preston,1–1,1.8,0.7,1,1
2025-11-08,Blackburn,Derby County,1–2,1.0,1.0,1,2
2025-11-08,Hull City,Portsmouth,3–2,2.4,1.2,3,2
2025-11-08,Swansea City,Ipswich Town,1–4,0.5,1.4,1,4
2025-11-08,Sheffield Utd,QPR,0–0,1.3,0.5,0,0
2025-11-08,Middlesbrough,Birmingham City,2–1,0.6,1.2,2,1
2025-11-08,Wrexham,Charlton Ath,1–0,2.4,0.8,1,0
2025-11-08,Southampton,Sheffield Weds,3–1,1.8,0.8,3,1
2025-11-08,Norwich City,Leicester City,1–2,0.3,1.6,1,2
2025-11-08,Stoke City,Coventry City,0–1,0.8,1.0,0,1
2025-11-08,West Brom,Oxford United,2–1,1.6,1.0,2,1
,,,,,,,
2025-11-21,Preston,Blackburn,1–2,1.7,1.3,1,2
2025-11-22,Charlton Ath,Southampton,1–5,0.7,4.4,1,5
2025-11-22,Coventry City,West Brom,3–2,2.1,1.6,3,2
2025-11-22,Bristol City,Swansea City,3–0,2.3,0.9,3,0
2025-11-22,Leicester City,Stoke City,2–1,1.5,1.6,2,1
2025-11-22,QPR,Hull City,3–2,2.9,1.1,3,2
,Home,Away,Score,,,,
2025-11-22,Birmingham City,Norwich City,4–1,3.6,1.3,4,1
