Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Birmingham City,30,25.9,44.1,46,506,4140,46.0,48,30,78,46,2,3,101,3,49.1,46.6,35.3,82.0,751,1398,1.04,0.65,1.7,1.0,1.65,1.07,0.77,1.83,1.01,1.78
Blackburn,31,24.8,51.6,46,506,4140,46.0,59,48,107,59,0,1,96,5,60.9,60.2,47.8,108.0,651,2022,1.28,1.04,2.33,1.28,2.33,1.32,1.04,2.36,1.31,2.35
Bristol City,26,25.7,47.8,46,506,4140,46.0,52,28,80,45,7,7,71,1,51.7,46.4,32.5,78.9,731,1523,1.13,0.61,1.74,0.98,1.59,1.12,0.71,1.83,1.01,1.71
Cardiff City,34,26.8,45.5,46,506,4140,46.0,48,34,82,46,2,2,81,1,43.6,42.0,32.1,74.1,629,1312,1.04,0.74,1.78,1.0,1.74,0.95,0.7,1.65,0.91,1.61
Coventry City,26,25.7,51.3,46,506,4140,46.0,66,39,105,63,3,6,89,3,63.8,59.1,43.6,102.7,809,1964,1.43,0.85,2.28,1.37,2.22,1.39,0.95,2.33,1.28,2.23
Huddersfield,33,26.4,40.0,46,506,4140,46.0,46,34,80,45,1,1,89,2,48.6,47.8,36.6,84.5,657,1331,1.0,0.74,1.74,0.98,1.72,1.06,0.8,1.85,1.04,1.84
Hull City,33,25.4,55.4,46,506,4140,46.0,68,41,109,64,4,7,97,1,57.2,51.7,38.5,90.2,815,1648,1.48,0.89,2.37,1.39,2.28,1.24,0.84,2.08,1.12,1.96
Ipswich Town,32,26.9,53.0,46,506,4140,46.0,88,63,151,86,2,3,101,0,74.0,71.7,55.7,127.4,843,1917,1.91,1.37,3.28,1.87,3.24,1.61,1.21,2.82,1.56,2.77
Leeds United,33,24.0,58.2,46,506,4140,46.0,78,56,134,71,7,9,73,2,79.5,72.6,57.4,130.0,1025,2123,1.7,1.22,2.91,1.54,2.76,1.73,1.25,2.98,1.58,2.83
Leicester City,27,25.9,61.6,46,506,4140,46.0,88,57,145,76,12,13,83,1,84.9,74.7,59.2,133.9,1039,2227,1.91,1.24,3.15,1.65,2.89,1.85,1.29,3.13,1.62,2.91
Middlesbrough,35,25.6,52.9,46,506,4140,46.0,69,56,125,67,2,5,85,2,68.3,64.1,53.2,117.3,924,2050,1.5,1.22,2.72,1.46,2.67,1.49,1.16,2.64,1.39,2.55
Millwall,27,27.0,42.3,46,506,4140,46.0,44,30,74,43,1,2,103,2,43.9,42.4,31.3,73.7,568,1291,0.96,0.65,1.61,0.93,1.59,0.95,0.68,1.63,0.92,1.6
Norwich City,31,27.3,49.3,46,506,4140,46.0,76,52,128,74,2,3,84,2,63.0,60.6,45.7,106.3,774,1581,1.65,1.13,2.78,1.61,2.74,1.37,0.99,2.36,1.32,2.31
Plymouth Argyle,31,24.5,45.0,46,506,4140,46.0,58,39,97,57,1,1,101,2,52.3,51.5,37.7,89.2,774,1467,1.26,0.85,2.11,1.24,2.09,1.14,0.82,1.96,1.12,1.94
Preston,28,27.2,44.6,46,506,4140,46.0,53,38,91,50,3,3,109,1,40.7,38.3,28.0,66.4,567,1323,1.15,0.83,1.98,1.09,1.91,0.88,0.61,1.49,0.83,1.44
QPR,30,27.4,46.3,46,506,4140,46.0,44,30,74,43,1,2,99,4,44.2,42.6,31.3,73.9,739,1333,0.96,0.65,1.61,0.93,1.59,0.96,0.68,1.64,0.93,1.61
Rotherham Utd,35,26.9,37.2,46,506,4140,46.0,37,23,60,35,2,2,88,4,31.6,30.1,21.6,51.7,498,961,0.8,0.5,1.3,0.76,1.26,0.69,0.47,1.16,0.65,1.12
Sheffield Weds,33,27.3,43.4,46,506,4140,46.0,43,33,76,43,0,0,108,5,50.2,50.2,38.0,88.3,609,1253,0.93,0.72,1.65,0.93,1.65,1.09,0.83,1.92,1.09,1.92
Southampton,28,25.4,65.5,46,506,4140,46.0,85,58,143,81,4,5,103,3,79.8,75.9,56.5,132.4,1203,2556,1.85,1.26,3.11,1.76,3.02,1.74,1.23,2.96,1.65,2.88
Stoke City,35,25.4,50.6,46,506,4140,46.0,46,35,81,45,1,4,113,3,54.0,50.8,39.9,90.6,714,1879,1.0,0.76,1.76,0.98,1.74,1.17,0.87,2.04,1.1,1.97
Sunderland,32,22.6,55.4,46,506,4140,46.0,51,34,85,45,6,6,95,2,61.7,57.1,43.1,100.1,1066,2009,1.11,0.74,1.85,0.98,1.72,1.34,0.94,2.28,1.24,2.18
Swansea City,30,25.3,54.8,46,506,4140,46.0,57,40,97,53,4,7,96,4,58.8,53.4,42.3,95.7,818,1686,1.24,0.87,2.11,1.15,2.02,1.28,0.92,2.2,1.16,2.08
Watford,27,25.5,51.9,46,506,4140,46.0,61,45,106,60,1,1,104,3,53.2,52.4,42.4,94.8,828,1867,1.33,0.98,2.3,1.3,2.28,1.16,0.92,2.08,1.14,2.06
West Brom,28,28.0,52.2,46,506,4140,46.0,68,45,113,63,5,5,79,1,60.1,56.2,42.6,98.8,854,1693,1.48,0.98,2.46,1.37,2.35,1.31,0.93,2.23,1.22,2.15
