Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
Championship,1,Fri,2023-08-04,20:00 (03:00),Sheffield Weds,0.5,1–2,1.4,Southampton,28558,Hillsborough Stadium,Robert Madley,Match Report,
Championship,1,Sat,2023-08-05,15:00 (22:00),Blackburn,1.6,2–1,0.8,West Brom,16741,Ewood Park,Dean Whitestone,Match Report,
Championship,1,Sat,2023-08-05,15:00 (22:00),Swansea City,1.3,1–1,0.8,Birmingham City,18051,Swansea.com Stadium,James Linington,Match Report,
Championship,1,Sat,2023-08-05,15:00 (22:00),Bristol City,0.9,1–1,1.3,Preston,29359,Ashton Gate Stadium,David Webb,Match Report,
Championship,1,Sat,2023-08-05,15:00 (22:00),Watford,2.9,4–0,0.4,QPR,20087,Vicarage Road Stadium,Thomas Bramall,Match Report,
Championship,1,Sat,2023-08-05,15:00 (22:00),Norwich City,2.6,2–1,0.4,Hull City,25892,Carrow Road,Keith Stroud,Match Report,
Championship,1,Sat,2023-08-05,15:00 (22:00),Middlesbrough,0.8,0–1,1.2,Millwall,29359,Riverside Stadium,Gavin Ward,Match Report,
Championship,1,Sat,2023-08-05,15:00 (22:00),Stoke City,2.4,4–1,0.9,Rotherham Utd,22601,Bet365 Stadium,John Busby,Match Report,
Championship,1,Sat,2023-08-05,15:00 (22:00),Plymouth Argyle,2.4,3–1,2.0,Huddersfield,16446,Home Park,Matt Donohue,Match Report,
Championship,1,Sun,2023-08-06,12:00 (19:00),Leicester City,1.5,2–1,1.8,Coventry City,31763,King Power Stadium,Darren Bond,Match Report,
Championship,1,Sun,2023-08-06,14:30 (21:30),Leeds United,1.7,2–2,1.2,Cardiff City,36368,Elland Road,Joshua Smith,Match Report,
Championship,1,Sun,2023-08-06,17:00 (00:00),Sunderland,1.9,1–2,1.2,Ipswich Town,44407,Stadium of Light,Samuel Barrott,Match Report,
,,,,,,,,,,,,,,
Championship,2,Sat,2023-08-12,12:30 (19:30),Coventry City,0.9,3–0,1.3,Middlesbrough,24080,Coventry Building Society Arena,Dean Whitestone,Match Report,
