Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
1,Leicester City,23,17,1,5,47,18,29,52,2.26,43.3,21.8,21.5,0.94,23,14,3,6,42,23,19,45,1.96,41.6,21.0,20.7,0.9
2,Ipswich Town,23,16,6,1,59,32,27,54,2.35,46.4,21.0,25.4,1.1,23,12,6,5,33,25,8,42,1.83,27.6,25.6,2.0,0.09
3,Leeds United,23,16,5,2,45,16,29,53,2.3,44.7,16.1,28.7,1.25,23,11,4,8,36,27,9,37,1.61,34.7,22.0,12.8,0.56
4,Southampton,23,15,3,5,54,29,25,48,2.09,46.4,24.4,22.0,0.96,23,11,6,6,33,34,-1,39,1.7,33.4,24.6,8.8,0.38
5,West Brom,23,15,4,4,38,17,21,49,2.13,33.7,19.4,14.3,0.62,23,6,8,9,32,30,2,26,1.13,26.4,30.8,-4.4,-0.19
6,Norwich City,23,15,4,4,43,22,21,49,2.13,35.0,25.0,10.0,0.44,23,6,6,11,36,42,-6,24,1.04,28.0,38.4,-10.4,-0.45
7,Hull City,23,8,9,6,35,27,8,33,1.43,31.3,25.4,5.9,0.26,23,11,4,8,33,33,0,37,1.61,25.9,26.5,-0.6,-0.03
8,Middlesbrough,23,10,4,9,30,26,4,34,1.48,36.4,23.6,12.8,0.56,23,10,5,8,41,36,5,35,1.52,32.0,30.2,1.8,0.08
9,Coventry City,23,9,8,6,36,27,9,35,1.52,32.2,24.7,7.5,0.33,23,8,5,10,34,32,2,29,1.26,31.6,31.2,0.4,0.02
10,Preston,23,11,4,8,35,36,-1,37,1.61,23.3,29.5,-6.1,-0.27,23,7,5,11,21,31,-10,26,1.13,17.4,30.8,-13.4,-0.58
11,Bristol City,23,11,4,8,31,21,10,37,1.61,26.7,24.6,2.1,0.09,23,6,7,10,22,30,-8,25,1.09,25.1,29.9,-4.9,-0.21
12,Cardiff City,23,10,3,10,27,32,-5,33,1.43,23.3,34.9,-11.6,-0.51,23,9,2,12,26,38,-12,29,1.26,20.3,35.0,-14.7,-0.64
13,Millwall,23,9,5,9,22,29,-7,32,1.39,25.3,27.4,-2.1,-0.09,23,7,6,10,23,26,-3,27,1.17,18.6,28.6,-10.0,-0.43
14,Swansea City,23,8,5,10,26,28,-2,29,1.26,31.7,28.1,3.7,0.16,23,7,7,9,33,37,-4,28,1.22,27.1,39.3,-12.2,-0.53
15,Watford,23,6,9,8,32,28,4,27,1.17,28.8,23.4,5.4,0.24,23,7,8,8,29,33,-4,29,1.26,24.4,33.5,-9.1,-0.39
16,Sunderland,23,10,2,11,30,30,0,32,1.39,32.7,24.6,8.1,0.35,23,6,6,11,22,24,-2,24,1.04,29.1,25.9,3.2,0.14
17,Stoke City,23,8,6,9,24,27,-3,30,1.3,28.4,26.2,2.2,0.1,23,7,5,11,25,33,-8,26,1.13,25.6,31.7,-6.0,-0.26
18,QPR,23,7,6,10,28,32,-4,27,1.17,24.6,24.0,0.7,0.03,23,8,5,10,19,26,-7,29,1.26,19.5,27.0,-7.5,-0.33
19,Blackburn,23,6,7,10,27,34,-7,25,1.09,34.7,28.8,5.8,0.25,23,8,4,11,33,40,-7,28,1.22,26.3,36.2,-9.9,-0.43
20,Sheffield Weds,23,8,7,8,27,27,0,31,1.35,28.7,24.8,3.9,0.17,23,7,1,15,17,41,-24,22,0.96,21.5,33.8,-12.3,-0.54
21,Plymouth Argyle,23,10,5,8,41,35,6,35,1.52,28.3,37.2,-8.9,-0.39,23,3,7,13,18,35,-17,16,0.7,24.0,35.9,-11.8,-0.51
22,Birmingham City,23,10,6,7,31,25,6,36,1.57,27.7,26.9,0.9,0.04,23,3,5,15,19,40,-21,14,0.61,21.3,33.6,-12.3,-0.54
23,Huddersfield,23,6,8,9,26,36,-10,26,1.13,24.7,27.8,-3.2,-0.14,23,3,10,10,22,41,-19,19,0.83,24.0,35.0,-11.1,-0.48
24,Rotherham Utd,23,5,8,10,24,28,-4,23,1.0,17.0,30.7,-13.7,-0.6,23,0,4,19,13,61,-48,4,0.17,14.6,48.6,-34.1,-1.48
