Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,预期进球,预期失球,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Leicester City,46,31,4,11,89,41,48,97,2.11,84.9,42.7,42.2,0.92,31238,Jamie Vardy - 18,Mads Hermansen,Promoted
2,Ipswich Town,46,28,12,6,92,57,35,96,2.09,74.0,46.7,27.4,0.59,28845,"Nathan Broadhead, Conor Chaplin - 13",Václav Hladký,Promoted
3,Leeds United,46,27,9,10,81,43,38,90,1.96,79.5,38.0,41.4,0.9,41304,Crysencio Summerville - 19,Illan Meslier,→ Promotion play-offs — Semi-finals
4,Southampton,46,26,9,11,87,63,24,87,1.89,79.8,49.0,30.8,0.67,30709,Adam Armstrong - 21,Gavin Bazunu,"Promoted, → Promotion play-offs — Semi-finals"
5,West Brom,46,21,12,13,70,47,23,75,1.63,60.1,50.3,9.8,0.21,25121,Brandon Thomas-Asante - 11,Alex Palmer,→ Promotion play-offs — Semi-finals
6,Norwich City,46,21,10,15,79,64,15,73,1.59,63.0,63.4,-0.4,-0.01,27250,Josh Sargent - 16,Angus Gunn,→ Promotion play-offs — Semi-finals
7,Hull City,46,19,13,14,68,60,8,70,1.52,57.2,51.9,5.3,0.12,21980,Jaden Philogene Bidace - 12,Ryan Allsop,
8,Middlesbrough,46,20,9,17,71,62,9,69,1.5,68.3,53.8,14.6,0.32,26905,Emmanuel Latte Lath - 16,Seny Dieng,
9,Coventry City,46,17,13,16,70,59,11,64,1.39,63.8,55.9,7.9,0.17,25468,Haji Wright - 16,Bradley Collins,
10,Preston,46,18,9,19,56,67,-11,63,1.37,40.7,60.2,-19.5,-0.42,16720,Will Keane - 13,Freddie Woodman,
11,Bristol City,46,17,11,18,53,51,2,62,1.35,51.7,54.6,-2.8,-0.06,22813,Tommy Conway - 10,Max O'Leary,
12,Cardiff City,46,19,5,22,53,70,-17,62,1.35,43.6,69.9,-26.3,-0.57,21213,"Karlan Grant, Perry Ng - 6",Jak Alnwick,
13,Millwall,46,16,11,19,45,55,-10,59,1.28,43.9,56.0,-12.1,-0.26,16540,Zian Flemming - 7,Matija Šarkić,
14,Swansea City,46,15,12,19,59,65,-6,57,1.24,58.8,67.4,-8.5,-0.19,16574,Jamal Lowe - 9,Carl Rushworth,
15,Watford,46,13,17,16,61,61,0,56,1.22,53.2,56.8,-3.7,-0.08,18876,Mileta Rajovic - 10,Daniel Bachmann,
16,Sunderland,46,16,8,22,52,54,-2,56,1.22,61.7,50.5,11.3,0.25,41028,Jack Clarke - 15,Anthony Patterson,
17,Stoke City,46,15,11,20,49,60,-11,56,1.22,54.0,57.8,-3.8,-0.08,22742,André Vidigal - 6,Daniel Iversen,
18,QPR,46,15,11,20,47,58,-11,56,1.22,44.2,51.0,-6.8,-0.15,16678,Ilias Chair - 7,Asmir Begović,
19,Blackburn,46,14,11,21,60,74,-14,53,1.15,60.9,65.0,-4.1,-0.09,15583,Sammie Szmodics - 27,Aynsley Pears,
20,Sheffield Weds,46,15,8,23,44,68,-24,53,1.15,50.2,58.6,-8.4,-0.18,26762,"Ike Ugbo, Anthony Musaba - 7",James Beadle,
21,Plymouth Argyle,46,13,12,21,59,70,-11,51,1.11,52.3,73.0,-20.7,-0.45,16507,Morgan Whittaker - 19,Conor Hazard,
22,Birmingham City,46,13,11,22,50,65,-15,50,1.09,49.1,60.5,-11.4,-0.25,21293,Jay Stansfield - 12,John Ruddy,Relegated
23,Huddersfield,46,9,18,19,48,77,-29,45,0.98,48.6,62.9,-14.2,-0.31,19418,Michał Helik - 9,Lee Nicholls,Relegated
24,Rotherham Utd,46,5,12,29,37,89,-52,27,0.59,31.6,79.4,-47.8,-1.04,10674,Tom Eaves - 6,Viktor Johansson,Relegated
