Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 17_level_0_Ast,Unnamed: 18_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 21_level_0_KP,Unnamed: 22_level_0_1/3,Unnamed: 23_level_0_PPA,Unnamed: 24_level_0_CrsPA,Unnamed: 25_level_0_PrgP
Birmingham City,30,46.0,13841,18735,73.9,263465,103801,5603,6618,84.7,6178,7501,82.4,1733,3536,49.0,30,35.3,32.2,-5.3,434,1019,272,60,1398
Blackburn,31,46.0,19583,24775,79.0,344055,126106,8905,10110,88.1,8277,9699,85.3,1931,3631,53.2,48,47.8,45.1,0.2,426,1490,443,63,2022
Bristol City,26,46.0,17301,22755,76.0,315277,109040,7332,8338,87.9,8061,9635,83.7,1662,3770,44.1,28,32.5,34.8,-4.5,378,1233,299,83,1523
Cardiff City,34,46.0,16255,21236,76.5,302783,110655,6834,7932,86.2,7032,8425,83.5,1982,3787,52.3,34,32.1,30.0,1.9,364,1036,216,77,1312
Coventry City,26,46.0,19310,24079,80.2,334493,126027,8743,9880,88.5,8462,9801,86.3,1641,3252,50.5,39,43.6,45.0,-4.6,456,1545,400,88,1964
Huddersfield,33,46.0,11676,16992,68.7,223744,93924,4673,5745,81.3,5154,6625,77.8,1564,3601,43.4,34,36.6,35.3,-2.6,389,1026,290,102,1331
Hull City,33,46.0,22942,27360,83.9,389189,131068,10552,11504,91.7,10142,11293,89.8,1663,3242,51.3,41,38.5,41.8,2.5,471,1447,327,65,1648
Ipswich Town,32,46.0,19178,24162,79.4,338365,126693,8521,9690,87.9,8617,10133,85.0,1691,3239,52.2,63,55.7,52.2,7.3,556,1570,408,104,1917
Leeds United,33,46.0,22112,26394,83.8,379353,127241,9829,10940,89.8,10251,11427,89.7,1552,2789,55.6,56,57.4,62.1,-1.4,544,1628,420,57,2123
Leicester City,27,46.0,26494,30645,86.5,444849,144692,12846,13800,93.1,11281,12536,90.0,1893,3185,59.4,57,59.2,64.6,-2.2,515,2014,471,100,2227
Middlesbrough,35,46.0,21724,26339,82.5,370056,127944,10171,11269,90.3,9172,10446,87.8,1811,3256,55.6,56,53.2,50.6,2.8,487,1627,451,71,2050
Millwall,27,46.0,13156,18531,71.0,245683,96942,5745,6909,83.2,5419,6870,78.9,1676,3702,45.3,30,31.3,34.7,-1.3,345,1057,249,81,1291
Norwich City,31,46.0,18601,23143,80.4,334414,116452,8005,8926,89.7,8402,9665,86.9,1829,3436,53.2,52,45.7,44.9,6.3,449,1237,329,102,1581
Plymouth Argyle,31,46.0,15006,19985,75.1,282408,104162,5845,6928,84.4,7183,8456,84.9,1688,3609,46.8,39,37.7,33.4,1.3,441,1080,267,52,1467
Preston,28,46.0,13628,19423,70.2,253336,98162,5900,7072,83.4,5639,7200,78.3,1702,3987,42.7,38,28.0,31.2,10.0,304,1185,240,67,1323
QPR,30,46.0,15578,20655,75.4,285009,109272,6837,7869,86.9,6640,8060,82.4,1758,3721,47.2,30,31.3,33.4,-1.3,390,1122,279,100,1333
Rotherham Utd,35,46.0,10489,15707,66.8,207042,93140,4624,5721,80.8,3936,5203,75.6,1634,3819,42.8,23,21.6,25.7,1.4,254,905,192,79,961
Sheffield Weds,33,46.0,13604,18742,72.6,248373,100063,5986,7050,84.9,5693,7101,80.2,1558,3539,44.0,33,38.0,34.5,-5.0,363,942,245,87,1253
Southampton,28,46.0,28747,32772,87.7,462760,149315,14712,15706,93.7,11691,12875,90.8,1730,2855,60.6,58,56.5,70.9,1.5,561,2086,594,78,2556
Stoke City,35,46.0,16532,22108,74.8,310800,117789,6891,8153,84.5,7306,8822,82.8,1991,3960,50.3,35,39.9,45.1,-4.9,446,1446,417,90,1879
Sunderland,32,46.0,20990,25420,82.6,363102,119345,9487,10549,89.9,9200,10440,88.1,1809,3183,56.8,34,43.1,46.6,-9.1,492,1554,351,66,2009
Swansea City,30,46.0,20096,25094,80.1,349482,121799,9067,10129,89.5,8926,10234,87.2,1660,3565,46.6,40,42.3,40.6,-2.3,402,1392,323,106,1686
Watford,27,46.0,18473,23331,79.2,346829,120391,7254,8334,87.0,8627,10035,86.0,2199,3899,56.4,45,42.4,41.1,2.6,486,1470,369,96,1867
West Brom,28,46.0,19065,23670,80.5,332688,113585,8658,9670,89.5,8348,9687,86.2,1661,3194,52.0,45,42.6,43.3,2.4,402,1315,321,116,1693
