Squad,TklW
ADO Den Haag,202
Almere City,214
Cambuur,207
De Graafschap,217
Den Bosch,233
Dordrecht,240
Emmen,217
FC Eindhoven,207
Helmond Sport,242
Jong Ajax,252
Jong AZ,234
Jong PSV,211
Jong Utrecht,208
MVV Maastricht,240
Oss,202
RKC Waalwijk,263
Roda JC,201
Vitesse,270
VVV-Venlo,233
Willem II,182
