Squad,Poss,G+A-PK
ADO Den Haag,61.5,4.8
Almere City,47.0,3.48
Cambuur,58.7,3.71
De Graafschap,53.0,3.48
Den Bosch,48.6,2.76
Dordrecht,46.3,2.05
Emmen,53.5,3.24
FC Eindhoven,43.2,2.14
Helmond Sport,49.3,2.0
Jong Ajax,52.8,2.05
Jong AZ,55.7,2.68
Jong PSV,50.3,2.73
Jong Utrecht,46.2,2.62
MVV Maastricht,43.8,1.9
Oss,43.0,1.73
RKC Waalwijk,51.7,2.52
Roda JC,51.4,2.43
Vitesse,47.2,2.75
VVV-Venlo,48.8,2.0
Willem II,48.9,2.24
