Date,Home,Away,Score,HomeGoals,AwayGoals
2025-10-17,FC Eindhoven,Vitesse,0–4,0,4
2025-10-17,Jong Ajax,Jong PSV,2–2,2,2
,Home,Away,Score,,
2025-10-17,Helmond Sport,Jong AZ,4–2,4,2
2025-10-17,VVV-Venlo,Emmen,4–0,4,0
2025-10-17,Jong Utrecht,MVV Maastricht,3–1,3,1
2025-10-18,De Graafschap,Oss,1–1,1,1
,,,,,
2025-10-20,Dordrecht,RKC Waalwijk,1–2,1,2
2025-10-20,Roda JC,Almere City,2–0,2,0
2025-10-20,Jong AZ,Willem II,4–0,4,0
2025-10-20,Jong PSV,ADO Den Haag,0–3,0,3
2025-10-21,Den Bosch,Helmond Sport,1–0,1,0
2025-10-21,VVV-Venlo,Jong Utrecht,0–1,0,1
2025-10-21,Oss,Jong Ajax,1–1,1,1
2025-10-21,MVV Maastricht,Vitesse,3–2,3,2
,,,,,
2025-10-24,De Graafschap,Jong PSV,3–2,3,2
2025-10-24,Helmond Sport,Dordrecht,1–2,1,2
2025-10-24,Jong Utrecht,Oss,0–0,0,0
2025-10-24,Vitesse,Roda JC,2–2,2,2
2025-10-24,RKC Waalwijk,Cambuur,4–2,4,2
2025-10-24,Almere City,Jong AZ,1–3,1,3
2025-10-24,FC Eindhoven,VVV-Venlo,0–1,0,1
2025-10-24,Jong Ajax,Emmen,0–1,0,1
2025-10-25,ADO Den Haag,Den Bosch,2–1,2,1
2025-10-26,Willem II,MVV Maastricht,2–2,2,2
,,,,,
2025-10-31,Oss,Helmond Sport,0–3,0,3
2025-10-31,VVV-Venlo,Vitesse,1–2,1,2
2025-10-31,Den Bosch,De Graafschap,1–2,1,2
2025-11-01,Roda JC,Jong Utrecht,1–1,1,1
2025-11-01,Cambuur,Jong Ajax,4–1,4,1
2025-11-02,Emmen,RKC Waalwijk,2–2,2,2
2025-11-02,MVV Maastricht,ADO Den Haag,3–4,3,4
2025-11-03,Dordrecht,Almere City,0–1,0,1
2025-11-03,Jong PSV,Willem II,2–1,2,1
2025-11-03,Jong AZ,FC Eindhoven,0–2,0,2
,,,,,
2025-11-07,FC Eindhoven,Den Bosch,1–3,1,3
2025-11-07,Jong AZ,VVV-Venlo,0–2,0,2
2025-11-07,Vitesse,Cambuur,0–4,0,4
2025-11-07,Almere City,MVV Maastricht,4–0,4,0
,Home,Away,Score,,
2025-11-07,Jong Ajax,Dordrecht,0–0,0,0
2025-11-07,Willem II,Oss,1–1,1,1
2025-11-07,Jong Utrecht,Emmen,1–2,1,2
2025-11-07,ADO Den Haag,Roda JC,4–0,4,0
2025-11-08,Helmond Sport,Jong PSV,2–3,2,3
2025-11-09,RKC Waalwijk,De Graafschap,1–4,1,4
,,,,,
2025-11-15,FC Eindhoven,Cambuur,3–3,3,3
2025-11-15,Willem II,Emmen,1–1,1,1
,,,,,
2025-11-21,Den Bosch,Almere City,5–2,5,2
2025-11-21,VVV-Venlo,Willem II,0–2,0,2
2025-11-21,Jong PSV,Jong Utrecht,3–3,3,3
2025-11-21,Oss,RKC Waalwijk,0–0,0,0
2025-11-21,Dordrecht,Vitesse,1–1,1,1
2025-11-21,MVV Maastricht,Jong AZ,1–3,1,3
2025-11-21,Jong Ajax,FC Eindhoven,1–3,1,3
2025-11-21,Cambuur,ADO Den Haag,2–0,2,0
2025-11-21,De Graafschap,Helmond Sport,3–1,3,1
2025-11-22,Emmen,Roda JC,1–1,1,1
,,,,,
2025-11-24,Jong Utrecht,Den Bosch,3–2,3,2
2025-11-24,Helmond Sport,Jong Ajax,2–1,2,1
2025-11-24,Jong AZ,Oss,0–1,0,1
2025-11-24,Almere City,VVV-Venlo,3–0,3,0
2025-11-25,Roda JC,Dordrecht,1–2,1,2
2025-11-25,Vitesse,Jong PSV,3–1,3,1
2025-11-25,ADO Den Haag,De Graafschap,3–2,3,2
2025-11-25,RKC Waalwijk,MVV Maastricht,1–0,1,0
,,,,,
2025-11-28,Den Bosch,Willem II,2–1,2,1
2025-11-28,Emmen,Jong AZ,4–2,4,2
2025-11-28,Dordrecht,Jong Utrecht,1–2,1,2
2025-11-28,VVV-Venlo,ADO Den Haag,0–3,0,3
2025-11-28,Cambuur,Helmond Sport,0–0,0,0
2025-11-29,Oss,Almere City,1–2,1,2
2025-11-30,MVV Maastricht,Roda JC,0–0,0,0
2025-11-30,De Graafschap,FC Eindhoven,2–0,2,0
2025-12-01,Jong PSV,RKC Waalwijk,3–1,3,1
2025-12-01,Jong Ajax,Vitesse,2–0,2,0
,Home,Away,Score,,
,,,,,
2025-12-04,Vitesse,De Graafschap,1–2,1,2
,,,,,
2025-12-05,RKC Waalwijk,VVV-Venlo,1–2,1,2
2025-12-05,Roda JC,Jong AZ,2–3,2,3
2025-12-05,Cambuur,Den Bosch,2–1,2,1
2025-12-05,Helmond Sport,MVV Maastricht,2–4,2,4
2025-12-05,Almere City,Jong Ajax,3–2,3,2
2025-12-05,FC Eindhoven,Jong PSV,4–0,4,0
2025-12-05,ADO Den Haag,Emmen,2–1,2,1
2025-12-06,Willem II,Dordrecht,2–0,2,0
2025-12-07,Vitesse,Oss,0–0,0,0
2025-12-08,Jong Utrecht,De Graafschap,2–3,2,3
,,,,,
2025-12-10,Vitesse,RKC Waalwijk,2–1,2,1
2025-12-12,Jong PSV,Almere City,2–3,2,3
2025-12-12,Dordrecht,FC Eindhoven,3–4,3,4
2025-12-12,Emmen,Helmond Sport,4–1,4,1
2025-12-12,Jong AZ,Jong Utrecht,1–4,1,4
2025-12-12,De Graafschap,Roda JC,2–3,2,3
2025-12-12,Oss,ADO Den Haag,3–4,3,4
2025-12-12,Willem II,Cambuur,0–1,0,1
2025-12-12,Den Bosch,VVV-Venlo,0–1,0,1
2025-12-12,MVV Maastricht,Jong Ajax,2–1,2,1
,,,,,
2025-12-19,Cambuur,MVV Maastricht,4–0,4,0
2025-12-19,ADO Den Haag,Jong PSV,1–2,1,2
2025-12-19,VVV-Venlo,Dordrecht,3–1,3,1
2025-12-19,FC Eindhoven,Jong AZ,3–2,3,2
2025-12-20,Oss,De Graafschap,2–3,2,3
2025-12-20,Almere City,Emmen,4–2,4,2
2025-12-21,Den Bosch,Vitesse,2–0,2,0
