Squad,GF,GA,Pts
ADO Den Haag,56,21,52
Cambuur,46,22,47
De Graafschap,42,33,37
Roda JC,36,30,34
Jong PSV,41,39,34
Almere City,45,35,32
Den Bosch,40,39,32
VVV-Venlo,28,30,30
Willem II,27,30,30
RKC Waalwijk,33,33,29
Emmen,39,39,28
FC Eindhoven,29,41,27
Vitesse,31,33,26
Jong Utrecht,33,37,26
Dordrecht,26,31,24
Helmond Sport,29,36,24
MVV Maastricht,25,40,22
Oss,26,37,20
Jong AZ,33,45,20
Jong Ajax,29,43,15
