Squad,xAG,PrgP,KP
Arsenal,23.9,938,221
Aston Villa,18.9,749,182
Bournemouth,18.5,800,192
Brentford,22.7,612,151
Brighton,21.6,767,197
Burnley,12.6,536,133
Chelsea,28.4,846,218
Crystal Palace,21.3,683,161
Everton,18.3,657,173
Fulham,17.2,817,187
Leeds United,17.7,651,176
Liverpool,24.5,1098,239
Manchester City,32.3,902,236
Manchester Utd,25.8,865,259
Newcastle Utd,21.4,943,199
Nott'ham Forest,18.0,886,189
Sunderland,11.7,620,140
Tottenham,15.7,681,154
West Ham,12.8,641,150
Wolves,12.2,592,138
