Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Willem II,38,23,10,5,77,35,42,79,2.08,13293,Jeredy Hilterman - 16,Joshua Smits,Promoted
2,Groningen,38,22,9,7,71,30,41,75,1.97,20217,Romano Postema - 18,Hidde Jurjus,→ First Round
3,Roda JC,38,21,12,5,69,34,35,75,1.97,10276,"Enrique Peña Zauner, Walid Ould-Chikh - 12","Koen Bucker, Calvin Raatsie",Promoted
4,Dordrecht,38,18,15,5,74,51,23,69,1.82,3030,Mathis Suray - 13,Luca Plogmann,→ First Round
5,ADO Den Haag,38,17,12,9,72,50,22,63,1.66,8698,Henk Veerman - 23,Nick Marsman,→ First Round
6,De Graafschap,38,19,6,13,61,52,9,63,1.66,10178,Basar Onal - 9,Thijs Jansen,→ First Round
7,Emmen,38,17,6,15,59,60,-1,57,1.5,8232,Piotr Parzyszek - 9,Jan Hoekstra,
8,NAC Breda,38,15,11,12,63,56,7,56,1.47,20427,Dominik Janošek - 11,Roy Kortsmit,→ First Round
9,MVV Maastricht,38,16,8,14,64,60,4,56,1.47,5091,Dailon Livramento - 16,Romain Matthys,
10,Jong AZ,38,16,8,14,62,61,1,56,1.47,569,Ernest Poku - 12,Rome-Jayden Owusu-Oduro,→ First Round
11,Helmond Sport,38,14,9,15,52,55,-3,51,1.34,2153,Martijn Kaars - 21,Wouter van der Steen,
12,VVV-Venlo,38,13,9,16,53,58,-5,48,1.26,5486,"Michalis Kosidis, Levi Smans - 9",Jan de Boer,
13,Cambuur,38,13,8,17,71,74,-3,47,1.24,9700,Milan Smit - 19,Yanick van Osch,
14,FC Eindhoven,38,9,16,13,45,57,-12,43,1.13,2720,Ozan Kökcü - 12,Jorn Brondeel,
15,Jong Ajax,38,10,10,18,54,69,-15,40,1.05,782,"Gabriel Osei Misehouy, Jaydon Amauri Banel - 7",Charlie Setford,
16,Jong PSV,38,11,7,20,63,81,-18,40,1.05,747,Jevon Simons - 11,Niek Schiks,
17,Telstar,38,9,8,21,47,68,-21,35,0.92,2217,Zakaria Eddahchouri - 14,Ronald Koeman Jr.,
18,Oss,38,10,4,24,32,66,-34,34,0.89,1924,"Konstantinos Doumtsios, Arthur Allemeersch - 6",Mike Havekotte,
19,Den Bosch,38,8,9,21,38,68,-30,33,0.87,4859,Kacper Kostorz - 16,Krisztián Hegyi,
20,Jong Utrecht,38,5,11,22,32,74,-42,26,0.68,470,Jesse van de Haar - 6,Kevin Gadellaa,
