Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Willem II,19,14,3,2,45,21,24,45,2.37,19,9,7,3,32,14,18,34,1.79
2,Groningen,19,12,5,2,38,14,24,41,2.16,19,10,4,5,33,16,17,34,1.79
3,Roda JC,20,14,4,2,41,19,22,46,2.3,20,7,8,5,29,23,6,29,1.45
4,Dordrecht,20,11,7,2,40,21,19,40,2.0,20,7,9,4,36,33,3,30,1.5
5,ADO Den Haag,21,8,7,6,43,31,12,31,1.48,21,10,6,5,36,32,4,36,1.71
6,De Graafschap,20,11,4,5,35,22,13,37,1.85,20,8,3,9,30,35,-5,27,1.35
7,Emmen,21,10,3,8,33,30,3,33,1.57,21,8,5,8,30,36,-6,29,1.38
8,NAC Breda,22,10,6,6,39,31,8,36,1.64,22,9,6,7,43,33,10,33,1.5
9,MVV Maastricht,19,8,5,6,33,25,8,29,1.53,19,8,3,8,31,35,-4,27,1.42
10,Jong AZ,19,12,2,5,39,24,15,38,2.0,19,4,6,9,23,37,-14,18,0.95
11,Helmond Sport,19,10,5,4,34,22,12,35,1.84,19,4,4,11,18,33,-15,16,0.84
12,VVV-Venlo,19,10,3,6,35,28,7,33,1.74,19,3,6,10,18,30,-12,15,0.79
13,Cambuur,19,6,6,7,38,37,1,24,1.26,19,7,2,10,33,37,-4,23,1.21
14,FC Eindhoven,19,4,8,7,21,29,-8,20,1.05,19,5,8,6,24,28,-4,23,1.21
15,Jong Ajax,19,8,5,6,28,23,5,29,1.53,19,2,5,12,26,46,-20,11,0.58
16,Jong PSV,19,6,4,9,32,34,-2,22,1.16,19,5,3,11,31,47,-16,18,0.95
17,Telstar,19,7,5,7,31,30,1,26,1.37,19,2,3,14,16,38,-22,9,0.47
18,Oss,19,7,2,10,20,34,-14,23,1.21,19,3,2,14,12,32,-20,11,0.58
19,Den Bosch,19,3,6,10,20,37,-17,15,0.79,19,5,3,11,18,31,-13,18,0.95
20,Jong Utrecht,19,4,7,8,16,25,-9,19,1.0,19,1,4,14,16,49,-33,7,0.37
