Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Adelaide,29,26.1,51.9,27,297,2430,27.0,51,41,92,44,7,9,49,3,1.89,1.52,3.41,1.63,3.15
Brisbane,29,27.0,55.3,27,297,2430,27.0,42,28,70,39,3,3,52,3,1.56,1.04,2.59,1.44,2.48
Central Coast,23,25.3,46.6,27,297,2430,27.0,48,36,84,42,6,7,52,5,1.78,1.33,3.11,1.56,2.89
Macarthur FC,29,27.6,48.1,27,297,2430,27.0,45,30,75,41,4,5,64,3,1.67,1.11,2.78,1.52,2.63
Melb City,25,29.2,55.5,27,297,2430,27.0,49,42,91,47,2,4,52,1,1.81,1.56,3.37,1.74,3.3
Melb Victory,25,28.5,52.3,27,297,2430,27.0,42,31,73,37,5,6,57,5,1.56,1.15,2.7,1.37,2.52
Newcastle,22,23.8,46.0,27,297,2430,27.0,38,28,66,34,4,6,41,1,1.41,1.04,2.44,1.26,2.3
Perth Glory,29,25.9,43.4,27,297,2430,27.0,45,31,76,43,2,4,57,3,1.67,1.15,2.81,1.59,2.74
Sydney FC,23,27.2,54.3,27,297,2430,27.0,50,34,84,45,5,5,47,5,1.85,1.26,3.11,1.67,2.93
W Sydney,31,26.9,50.3,27,297,2430,27.0,42,37,79,41,1,2,45,5,1.56,1.37,2.93,1.52,2.89
Wellington,23,25.6,48.0,27,297,2430,27.0,39,30,69,35,4,5,49,2,1.44,1.11,2.56,1.3,2.41
Western United,30,25.7,48.9,27,297,2430,27.0,36,22,58,33,3,4,56,2,1.33,0.81,2.15,1.22,2.04
