Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Central Coast,14,9,2,3,28,16,12,29,2.07,13,8,2,3,21,11,10,26,2.0
2,Wellington,13,10,2,1,23,10,13,32,2.46,14,5,6,3,19,16,3,21,1.5
3,Melb Victory,13,6,4,3,22,15,7,22,1.69,14,4,8,2,21,18,3,20,1.43
4,Sydney FC,13,8,2,3,29,15,14,26,2.0,14,4,3,7,23,26,-3,15,1.07
5,Macarthur FC,14,5,5,4,22,25,-3,20,1.43,13,6,3,4,23,23,0,21,1.62
6,Melb City,14,7,5,2,35,10,25,26,1.86,13,4,1,8,15,28,-13,13,1.0
7,W Sydney,13,4,2,7,22,22,0,14,1.08,14,7,2,5,22,26,-4,23,1.64
8,Adelaide,14,5,3,6,30,28,2,18,1.29,13,4,2,7,22,25,-3,14,1.08
9,Brisbane,14,5,3,6,27,27,0,18,1.29,13,3,3,7,15,28,-13,12,0.92
10,Newcastle,13,3,5,5,18,19,-1,14,1.08,14,3,5,6,21,28,-7,14,1.0
11,Western United,13,4,3,6,18,20,-2,15,1.15,14,3,2,9,18,35,-17,11,0.79
12,Perth Glory,14,4,4,6,29,30,-1,16,1.14,13,1,3,9,17,39,-22,6,0.46
