Squad,Poss,PrgC,G+A-PK
Ajax,57.2,393,3.28
AZ Alkmaar,53.9,354,2.71
Excelsior,44.5,265,1.53
Feyenoord,53.8,461,3.89
Fortuna Sittard,46.5,300,2.44
Go Ahead Eag,52.2,276,2.33
Groningen,51.9,297,2.11
Heerenveen,51.8,360,2.67
Heracles Almelo,43.9,222,2.5
NAC Breda,49.8,324,1.33
NEC Nijmegen,56.8,336,4.06
PSV Eindhoven,59.2,447,5.67
Sparta R'dam,46.1,306,1.61
Telstar,43.6,282,2.17
Twente,55.2,403,2.17
Utrecht,47.9,252,2.94
Volendam,44.2,304,1.83
Zwolle,41.7,229,2.22
