Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-10-24,Heerenveen,NAC Breda,3–3,2.3,1.4,3,3
2025-10-25,Fortuna Sittard,Groningen,1–2,1.1,1.7,1,2
2025-10-25,Sparta R'dam,Telstar,1–0,1.6,0.6,1,0
2025-10-25,Volendam,Heracles Almelo,3–0,1.5,1.2,3,0
2025-10-25,Zwolle,NEC Nijmegen,2–2,1.8,0.7,2,2
2025-10-26,Twente,Ajax,2–3,2.7,0.8,2,3
2025-10-26,Feyenoord,PSV Eindhoven,2–3,1.1,1.2,2,3
2025-10-26,AZ Alkmaar,Utrecht,4–1,3.5,1.0,4,1
2025-10-26,Go Ahead Eag,Excelsior,2–0,1.8,0.6,2,0
,,,,,,,
2025-10-31,PSV Eindhoven,Fortuna Sittard,5–2,2.2,0.7,5,2
2025-11-01,Ajax,Heerenveen,1–1,0.9,1.1,1,1
2025-11-01,NAC Breda,Go Ahead Eag,1–0,0.6,0.4,1,0
2025-11-01,Feyenoord,Volendam,3–1,4.7,0.8,3,1
2025-11-01,Telstar,Excelsior,2–2,3.4,3.4,2,2
2025-11-02,Heracles Almelo,Zwolle,8–2,4.4,1.1,8,2
2025-11-02,Sparta R'dam,AZ Alkmaar,0–1,0.6,2.6,0,1
2025-11-02,Groningen,Twente,1–1,3.2,1.4,1,1
2025-11-02,Utrecht,NEC Nijmegen,1–0,1.5,2.1,1,0
,,,,,,,
2025-11-07,Twente,Telstar,0–0,1.7,0.6,0,0
2025-11-08,Excelsior,Heracles Almelo,1–2,1.9,1.3,1,2
2025-11-08,Volendam,NAC Breda,2–1,1.9,0.6,2,1
2025-11-08,Fortuna Sittard,Heerenveen,2–0,2.0,1.6,2,0
2025-11-08,Zwolle,Sparta R'dam,1–0,1.0,0.8,1,0
2025-11-09,Utrecht,Ajax,2–1,1.4,0.6,2,1
2025-11-09,NEC Nijmegen,Groningen,2–0,1.6,1.3,2,0
2025-11-09,AZ Alkmaar,PSV Eindhoven,1–5,0.6,2.4,1,5
,Home,Away,Score,,,,
2025-11-09,Go Ahead Eag,Feyenoord,2–1,1.8,2.6,2,1
,,,,,,,
2025-11-22,NAC Breda,PSV Eindhoven,0–1,1.2,0.6,0,1
2025-11-22,Volendam,Twente,1–1,1.3,2.6,1,1
2025-11-22,Ajax,Excelsior,1–2,1.4,0.5,1,2
2025-11-22,Sparta R'dam,Fortuna Sittard,1–1,1.8,1.2,1,1
2025-11-22,Heracles Almelo,Go Ahead Eag,4–2,2.6,0.9,4,2
2025-11-23,Heerenveen,AZ Alkmaar,3–1,3.1,1.2,3,1
2025-11-23,Feyenoord,NEC Nijmegen,2–4,2.8,2.2,2,4
2025-11-23,Telstar,Utrecht,1–1,1.4,0.9,1,1
2025-11-23,Groningen,Zwolle,2–2,2.4,0.8,2,2
,,,,,,,
2025-11-28,Zwolle,Heerenveen,2–1,1.6,1.9,2,1
2025-11-29,Excelsior,NAC Breda,1–0,0.9,1.6,1,0
2025-11-29,Fortuna Sittard,Heracles Almelo,1–1,1.8,0.8,1,1
2025-11-29,NEC Nijmegen,Sparta R'dam,3–1,2.7,1.5,3,1
2025-11-30,PSV Eindhoven,Volendam,3–0,1.7,0.5,3,0
2025-11-30,Go Ahead Eag,Utrecht,2–2,1.0,1.8,2,2
2025-11-30,Telstar,Feyenoord,1–2,1.5,1.5,1,2
2025-11-30,Twente,AZ Alkmaar,1–0,1.0,1.3,1,0
2025-12-02,Ajax,Groningen,2–0,1.5,1.9,2,0
,,,,,,,
2025-12-05,Excelsior,Groningen,0–2,2.0,3.9,0,2
2025-12-06,Heerenveen,PSV Eindhoven,0–2,0.8,0.8,0,2
2025-12-06,Fortuna Sittard,Ajax,1–3,2.7,1.1,1,3
2025-12-06,Heracles Almelo,Telstar,1–1,2.1,0.9,1,1
2025-12-06,Feyenoord,Zwolle,6–1,3.3,0.8,6,1
2025-12-07,Utrecht,Twente,1–1,0.8,1.4,1,1
2025-12-07,Volendam,NEC Nijmegen,2–3,1.7,1.3,2,3
2025-12-07,AZ Alkmaar,Go Ahead Eag,2–2,2.0,1.5,2,2
2025-12-07,Sparta R'dam,NAC Breda,1–0,2.4,2.2,1,0
,,,,,,,
2025-12-13,Telstar,NEC Nijmegen,2–2,1.7,2.8,2,2
2025-12-13,Groningen,Volendam,3–0,3.1,0.1,3,0
2025-12-13,PSV Eindhoven,Heracles Almelo,4–3,2.9,2.8,4,3
2025-12-13,Zwolle,Fortuna Sittard,1–0,1.6,0.9,1,0
2025-12-14,Sparta R'dam,Heerenveen,0–3,0.6,1.5,0,3
2025-12-14,Ajax,Feyenoord,2–0,1.3,1.9,2,0
2025-12-14,Twente,Go Ahead Eag,2–0,3.6,0.4,2,0
2025-12-14,NAC Breda,Utrecht,1–1,1.4,0.7,1,1
,Home,Away,Score,,,,
,,,,,,,
2025-12-20,Heracles Almelo,Heerenveen,0–3,0.6,2.0,0,3
2025-12-20,Excelsior,Zwolle,2–1,2.1,1.3,2,1
2025-12-20,NEC Nijmegen,Ajax,2–2,1.9,2.0,2,2
2025-12-20,NAC Breda,Telstar,0–1,0.7,1.8,0,1
2025-12-21,Utrecht,PSV Eindhoven,1–2,1.3,1.4,1,2
2025-12-21,Go Ahead Eag,Groningen,1–1,1.2,1.3,1,1
2025-12-21,Feyenoord,Twente,1–1,0.6,2.6,1,1
2025-12-21,Fortuna Sittard,AZ Alkmaar,4–3,1.7,4.0,4,3
2025-12-21,Volendam,Sparta R'dam,0–1,0.9,2.7,0,1
,,,,,,,
2026-01-09,NEC Nijmegen,Utrecht,,,,,
2026-01-10,AZ Alkmaar,Volendam,1–0,2.3,0.5,1,0
2026-01-10,Twente,Zwolle,1–1,2.0,0.4,1,1
2026-01-10,PSV Eindhoven,Excelsior,5–1,2.6,0.7,5,1
2026-01-10,Groningen,NAC Breda,0–0,1.8,0.9,0,0
2026-01-11,Heerenveen,Feyenoord,2–2,1.1,1.2,2,2
2026-01-11,Go Ahead Eag,Fortuna Sittard,2–2,1.6,1.1,2,2
2026-01-11,Telstar,Ajax,2–3,0.8,1.7,2,3
2026-01-11,Sparta R'dam,Heracles Almelo,2–0,2.3,0.4,2,0
,,,,,,,
2026-01-17,Ajax,Go Ahead Eag,,,,,
2026-01-17,Zwolle,AZ Alkmaar,,,,,
