Squad,xAG,PrgP,KP
Ajax,24.0,870,215
AZ Alkmaar,22.9,741,215
Excelsior,13.2,525,142
Feyenoord,30.2,866,245
Fortuna Sittard,14.7,505,176
Go Ahead Eag,16.8,704,148
Groningen,22.1,729,202
Heerenveen,24.7,829,218
Heracles Almelo,18.0,485,149
NAC Breda,17.4,647,182
NEC Nijmegen,24.1,740,202
PSV Eindhoven,31.8,945,268
Sparta R'dam,18.8,607,177
Telstar,19.1,651,167
Twente,25.8,885,250
Utrecht,16.6,587,182
Volendam,14.2,520,138
Zwolle,15.5,507,108
