Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Portsmouth,23,15,5,3,43,27,16,50,2.17,23,13,8,2,35,14,21,47,2.04
2,Derby County,23,15,4,4,41,18,23,49,2.13,23,13,4,6,37,19,18,43,1.87
3,Bolton,23,15,5,3,52,27,25,50,2.17,23,10,7,6,34,24,10,37,1.61
4,P'borough Utd,23,13,5,5,55,28,27,44,1.91,23,12,4,7,34,33,1,40,1.74
5,Oxford United,23,11,7,5,44,24,20,40,1.74,23,11,4,8,35,32,3,37,1.61
6,Barnsley,23,9,7,7,38,33,5,34,1.48,23,12,6,5,44,31,13,42,1.83
7,Lincoln City,23,10,7,6,36,17,19,37,1.61,23,10,7,6,29,23,6,37,1.61
8,Blackpool,23,14,6,3,43,19,24,48,2.09,23,7,4,12,22,29,-7,25,1.09
9,Stevenage,23,10,8,5,27,19,8,38,1.65,23,9,6,8,30,27,3,33,1.43
10,Wycombe,23,9,7,7,31,28,3,34,1.48,23,8,7,8,29,27,2,31,1.35
11,Leyton Orient,23,9,5,9,26,31,-5,32,1.39,23,9,6,8,27,24,3,33,1.43
12,Wigan Athletic,23,13,4,6,30,18,12,43,1.87,23,7,6,10,33,38,-5,27,1.17
13,Exeter City,23,7,8,8,17,22,-5,29,1.26,23,10,2,11,29,39,-10,32,1.39
14,Northampton,23,11,5,7,31,23,8,38,1.65,23,6,4,13,26,43,-17,22,0.96
15,Bristol Rovers,23,8,6,9,27,29,-2,30,1.3,23,8,3,12,25,39,-14,27,1.17
16,Charlton Ath,23,8,8,7,37,31,6,32,1.39,23,3,12,8,27,34,-7,21,0.91
17,Reading,23,12,5,6,39,24,15,41,1.78,23,4,6,13,29,46,-17,18,0.78
18,Cambridge Utd,23,8,7,8,22,24,-2,31,1.35,23,4,5,14,17,37,-20,17,0.74
19,Shrewsbury,23,8,3,12,19,31,-12,27,1.17,23,5,6,12,16,36,-20,21,0.91
20,Burton Albion,23,7,4,12,22,33,-11,25,1.09,23,5,6,12,17,34,-17,21,0.91
21,Cheltenham,23,7,4,12,24,34,-10,25,1.09,23,5,4,14,17,31,-14,19,0.83
22,Fleetwood Town,23,6,5,12,26,33,-7,23,1.0,23,4,8,11,23,39,-16,20,0.87
23,Port Vale,23,6,4,13,27,34,-7,22,0.96,23,4,7,12,14,40,-26,19,0.83
24,Carlisle United,23,3,6,14,21,42,-21,15,0.65,23,4,3,16,20,39,-19,15,0.65
