Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Lorient,17,15,1,1,49,12,37,46,2.71,17,7,4,6,19,19,0,25,1.47
2,Paris FC,17,13,2,2,34,16,18,41,2.41,17,8,4,5,21,17,4,28,1.65
3,Metz,17,10,6,1,37,15,22,36,2.12,17,8,5,4,27,19,8,29,1.71
4,Dunkerque,17,12,1,4,28,14,14,37,2.18,17,5,4,8,19,26,-7,19,1.12
5,Guingamp,17,9,3,5,33,19,14,30,1.76,17,8,1,8,24,26,-2,25,1.47
6,Annecy,17,9,4,4,24,16,8,31,1.82,17,5,5,7,18,27,-9,20,1.18
7,Stade Laval,17,8,3,6,24,18,6,27,1.59,17,6,5,6,20,20,0,23,1.35
8,Bastia,17,9,7,1,29,14,15,34,2.0,17,2,8,7,14,23,-9,14,0.82
9,Grenoble,17,8,5,4,25,17,8,29,1.71,17,5,2,10,18,27,-9,17,1.0
10,Troyes,17,7,4,6,18,13,5,25,1.47,17,6,1,10,18,21,-3,19,1.12
11,Amiens,17,11,2,4,26,20,6,35,2.06,17,2,2,13,12,30,-18,8,0.47
12,Ajaccio,17,9,3,5,22,17,5,30,1.76,17,3,3,11,8,25,-17,12,0.71
13,Pau FC,17,8,5,4,20,19,1,29,1.71,17,2,7,8,19,34,-15,13,0.76
14,Rodez Aveyron,17,6,5,6,28,26,2,23,1.35,17,3,7,7,28,28,0,16,0.94
15,Red Star,17,6,5,6,19,22,-3,23,1.35,17,3,6,8,18,29,-11,15,0.88
16,Clermont Foot,17,3,8,6,17,19,-2,17,1.0,17,4,4,9,13,27,-14,16,0.94
17,Martigues,17,3,3,11,13,27,-14,12,0.71,17,6,2,9,16,29,-13,20,1.18
18,Caen,17,3,5,9,15,24,-9,14,0.82,17,2,2,13,16,34,-18,8,0.47
