Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Ajaccio,31,34.0,79,8,2,463,459,86,537,308,351,,,0
Amiens,35,34.0,67,3,2,387,483,63,552,303,416,,,0
Annecy,30,34.0,80,6,1,521,373,42,446,351,362,,,2
Bastia,26,34.0,77,6,2,453,496,69,618,334,403,,,1
Caen,34,34.0,69,5,0,454,430,65,749,292,352,,,0
Clermont Foot,34,34.0,70,6,3,406,414,68,645,268,328,,,1
Dunkerque,29,34.0,64,3,1,443,402,59,600,273,319,,,1
Grenoble,32,34.0,50,3,1,426,369,91,480,324,402,,,1
Guingamp,26,34.0,40,2,0,434,460,81,658,321,377,,,1
Lorient,26,34.0,48,1,0,443,404,79,729,325,426,,,0
Martigues,28,34.0,59,7,2,420,408,42,578,346,366,,,0
Metz,28,34.0,55,1,0,384,437,63,633,330,350,,,1
Paris FC,27,34.0,70,4,3,430,417,72,567,290,425,,,2
Pau FC,29,34.0,76,5,2,462,391,66,720,280,333,,,1
Red Star,25,34.0,58,1,0,429,379,45,592,360,344,,,0
Rodez Aveyron,29,34.0,64,3,1,454,329,68,793,365,403,,,2
Stade Laval,29,34.0,64,2,1,484,396,54,648,337,372,,,2
Troyes,30,34.0,54,4,2,405,412,57,564,329,286,,,0
